683	46818	672106	MATT 5.15	ak	---------n	C-	ak	80	268759
683	46818	672107	MATT 5.15	ana	---------n	R-	ana	80	268769
683	46818	672108	MATT 5.15	lukarnastaþin	-s---md--i	Nb	lukarnastaþa	80	268767
683	46818	672110	MATT 5.15	jah	---------n	C-	jah	80	268768
683	46818	672111	MATT 5.15	liuteiþ	3spia----i	V-	liuhtjan	80	268774
683	46818	672112	MATT 5.15	allaim	-p---qd--i	Px	alls	80	268775
683	46818	672113	MATT 5.15	þaim	-p---qd--i	Pd	sa	80	None
683	46818	672114	MATT 5.15	in	---------n	R-	in	80	268777
683	46818	672115	MATT 5.15	þamma	-s---od--i	Pd	sa	80	None
683	46818	672116	MATT 5.15	garda	-s---md--i	Nb	gards	80	268779
683	46819	672118	MATT 5.16	swa	---------n	Df	swa	80	268781
683	46819	672119	MATT 5.16	liuhtjai	3spoa----i	V-	liuhtjan	80	268782
683	46819	672120	MATT 5.16	liuhaþ	-s---nn--i	Nb	liuhaþ	80	268784
683	46819	672121	MATT 5.16	izwar	2s---nn--i	Ps	izwar	80	268785
683	46819	672122	MATT 5.16	in	---------n	R-	in	80	268786
683	46819	672123	MATT 5.16	andwairþja	-s---nd--i	Nb	andwairþi	80	None
683	46819	672124	MATT 5.16	manne	-p---mg--i	Nb	manna#2	80	268788
683	46819	672126	MATT 5.16	ei	---------n	G-	ei	80	268790
683	46819	672127	MATT 5.16	gasaiƕaina	3ppoa----i	V-	ga-saiƕan	80	268791
683	46819	672128	MATT 5.16	izwara	2p---na--i	Ps	izwar	80	268792
683	46819	672129	MATT 5.16	goda	-p---napsi	A-	goþs	80	268794
683	46819	672130	MATT 5.16	waurstwa	-p---na--i	Nb	waurstw	80	268795
683	46819	672131	MATT 5.16	jah	---------n	C-	jah	80	268796
683	46819	672132	MATT 5.16	hauhjaina	3ppoa----i	V-	hauhjan	80	268797
683	46819	672133	MATT 5.16	attan	-s---ma--i	Nb	atta	80	268799
683	46819	672134	MATT 5.16	izwarana	2s---ma--i	Ps	izwar	80	268800
683	46819	672135	MATT 5.16	þana	-s---ma--i	Pd	sa	80	None
683	46819	672136	MATT 5.16	in	---------n	R-	in	80	268802
683	46819	672137	MATT 5.16	himinam	-p---md--i	Nb	himins	80	268804
683	46820	672139	MATT 5.17	ni	---------n	Df	ni	80	268806
683	46820	672140	MATT 5.17	hugjaiþ	2ppoa----i	V-	hugjan	80	268807
683	46820	672141	MATT 5.17	ei	---------n	G-	ei	80	268808
683	46820	672142	MATT 5.17	qemjau	1suoa----i	V-	qiman	80	268809
683	46820	672143	MATT 5.17	gatairan	--pna----i	V-	ga-tairan	80	268810
683	46820	672144	MATT 5.17	witoþ	-s---na--i	Nb	witoþ	80	268812
683	46820	672145	MATT 5.17	aiþþau	---------n	C-	aiþþau	80	268813
683	46820	672146	MATT 5.17	praufetuns	-p---ma--i	Nb	praufetes	80	268815
683	46821	672148	MATT 5.17	ni	---------n	Df	ni	80	268817
683	46821	672149	MATT 5.17	qam	1suia----i	V-	qiman	80	268818
683	46821	672150	MATT 5.17	gatairan	--pna----i	V-	ga-tairan	80	268819
683	46821	672152	MATT 5.17	ak	---------n	C-	ak	80	268820
683	46821	672153	MATT 5.17	usfulljan	--pna----i	V-	us-fulljan	80	268821
683	46822	672155	MATT 5.18	amen	---------n	I-	amen	80	268823
683	46822	672156	MATT 5.18	auk	---------n	Df	auk	80	268824
683	46822	672157	MATT 5.18	qiþa	1spia----i	V-	qiþan	80	268825
683	46822	672158	MATT 5.18	izwis	2p---pd--i	Pp	jūs	80	268826
683	46823	672160	MATT 5.18	und	---------n	R-	und	80	None
683	46823	672161	MATT 5.18	þatei	---------n	G-	þatei	80	None
683	46823	672162	MATT 5.18	usleiþiþ	3spia----i	V-	us-leiþan	80	268830
683	46823	672163	MATT 5.18	himins	-s---mn--i	Nb	himins	80	268832
683	46823	672164	MATT 5.18	jah	---------n	C-	jah	80	268833
